"code","name","n_indicators","n_covered","missing_pathogens","status"
"AK","Alaska",8,0,"acute respiratory illness (ARI); COVID-19; influenza (seasonal); influenza-like illness (ILI); RSV","FAILED"
"AL","Alabama",3,0,"COVID-19; influenza (seasonal); RSV","FAILED"
"AZ","Arizona",21,0,"acute respiratory illness (ARI); COVID-19; influenza (seasonal); influenza-like illness (ILI); RSV","FAILED"
"CA","California",15,10,"COVID-19","PARTIAL"
"CO","Colorado",26,19,"RSV","PARTIAL"
"CT","Connecticut",13,9,"RSV","PARTIAL"
"FL","Florida",11,0,"COVID-19; influenza (seasonal); influenza (seasonal); influenza-like illness (ILI); influenza-like illness (ILI)","FAILED"
"GA","Georgia",5,0,"COVID-19; influenza (seasonal); RSV","FAILED"
"IA","Iowa",24,0,"pathogen independent; adenovirus; coronaviruses (other than COVID-19); COVID-19; influenza (seasonal); human metapneumovirus; influenza-like illness (ILI); parainfluenza; enterovirus; rhinovirus; RSV","FAILED"
"IL","Illinois",29,0,"acute respiratory illness (ARI); adenovirus; COVID-19; enterovirus; rhinovirus; influenza (seasonal); human metapneumovirus; mycoplasma; parainfluenza; pneumonia; RSV","FAILED"
"IN","Indiana",18,0,"adenovirus; coronaviruses (other than COVID-19); COVID-19; enterovirus; rhinovirus; influenza (seasonal); human metapneumovirus; influenza-like illness (ILI); parainfluenza; RSV","FAILED"
"KY","Kentucky",27,0,"acute respiratory illness (ARI); COVID-19; influenza (seasonal); influenza-like illness (ILI); RSV","FAILED"
"LA","Louisiana",11,0,"COVID-19; influenza (seasonal); RSV","POOR"
"MA","Massachusetts",16,0,"acute respiratory illness (ARI); COVID-19; influenza (seasonal); RSV","FAILED"
"MD","Maryland",21,0,"COVID-19; influenza (seasonal); influenza-like illness (ILI); RSV","FAILED"
"MI","Michigan",8,0,"COVID-19; influenza (seasonal); RSV","POOR"
"MN","Minnesota",17,10,"adenovirus; COVID-19; human metapneumovirus; rhinovirus; coronaviruses (other than COVID-19)","PARTIAL"
"MO","Missouri",5,0,"influenza (seasonal); influenza-like illness (ILI)","FAILED"
"NC","North Carolina",8,0,"COVID-19; influenza (seasonal); influenza-like illness (ILI); RSV","FAILED"
"NJ","New Jersey",23,0,"adenovirus; coronaviruses (other than COVID-19); COVID-19; influenza (seasonal); human metapneumovirus; influenza-like illness (ILI); parainfluenza; enterovirus; rhinovirus; RSV","FAILED"
"NY","New York",15,14,"pathogen independent","GOOD"
"OH","Ohio",12,0,"COVID-19; influenza (seasonal); RSV","FAILED"
"OK","Oklahoma",24,0,"adenovirus; coronaviruses (other than COVID-19); COVID-19; influenza (seasonal); human metapneumovirus; influenza-like illness (ILI); mycoplasma; parainfluenza; enterovirus; rhinovirus; RSV","FAILED"
"OR","Oregon",16,0,"COVID-19; influenza (seasonal); RSV","POOR"
"PA","Pennsylvania",14,13,"acute respiratory illness (ARI)","GOOD"
"SC","South Carolina",13,0,"COVID-19; influenza (seasonal); influenza-like illness (ILI); RSV","FAILED"
"TN","Tennessee",10,0,"COVID-19; influenza (seasonal); influenza-like illness (ILI); RSV","POOR"
"TX","Texas",14,12,"pathogen independent","GOOD"
"UT","Utah",12,0,"COVID-19; influenza (seasonal); influenza-like illness (ILI); RSV","FAILED"
"VA","Virginia",13,13,"","GOOD"
"VT","Vermont",10,10,"","GOOD"
"WA","Washington",18,7,"COVID-19; RSV","POOR"
"WI","Wisconsin",43,0,"adenovirus; acute respiratory illness (ARI); COVID-19; influenza (seasonal); human metapneumovirus; influenza-like illness (ILI); parainfluenza; pneumonia; COVID-19; influenza (seasonal); pneumonia; RSV; enterovirus; rhinovirus; RSV","FAILED"
