name,short_name,description,original_data_provider,state,pathogens,data_type,geographic_scope,geographic_levels,temporal_scope_start,temporal_scope_end,temporal_granularity,reporting_cadence,reporting_lag,revision_cadence,demographic_scope,demographic_granularity,severity_pyramid_rungs,censoring,missingness,dua_required,license,dataset_location,documentation_link,epidata_endpoint,delphi_hosted,source_type,is_top_priority,maintainer_name,maintainer_email,organization,language,version_number,origin_datasource,preprocessing_description
Alabama COVID % ED visits,,,Alabama Department of Public Health,Alabama,COVID-19,,Alabama,State/ADM 1,3/20/2020,ongoing,Weekly,Weekly,,,All,None,,,,,none found,,https://www.alabamapublichealth.gov/data/respiratory.html,,No,us_state,0,,,,,,,
Alabama Flu % ED visits,,,Alabama Department of Public Health,Alabama,influenza (seasonal),,Alabama,State/ADM 1,1/5/2019,ongoing,Weekly,Weekly,,,All,None,,,,,none found,,https://www.alabamapublichealth.gov/data/respiratory.html,,No,us_state,0,,,,,,,
Alabama RSV % ED visits,,,Alabama Department of Public Health,Alabama,RSV,,Alabama,State/ADM 1,1/5/2019,ongoing,Weekly,Weekly,,,All,None,,,,,none found,,https://www.alabamapublichealth.gov/data/respiratory.html,,No,us_state,0,,,,,,,
Alaska All Acute Respiratory % ED Visits,,,Alaska Department of Health,Alaska,acute respiratory illness (ARI),,Alaska,State/ADM 1,9/24/2024,ongoing,Weekly,Weekly,,,Patients at EDs participating in syndromic surveillance program,None,,,,,None found,,https://health.alaska.gov/en/resources/respiratory-virus-snapshot/,,No,us_state,0,,,,,,,
Alaska CLI % ED Visits,,,Alaska Department of Health,Alaska,COVID-19,,Alaska,State/ADM 1,9/24/2024,ongoing,Weekly,Weekly,,,Patients at EDs participating in syndromic surveillance program,None,,,,,None found,,https://health.alaska.gov/en/resources/respiratory-virus-snapshot/,,No,us_state,0,,,,,,,
Alaska COVID # Cases,,,Alaska Department of Health,Alaska,COVID-19,,Alaska,State/ADM 1; Other Substate Region,10/4/2021,ongoing,Weekly,Weekly,,,All,None,,,,,None found,,https://health.alaska.gov/en/resources/respiratory-virus-snapshot/,,No,us_state,0,,,,,,,
Alaska Flu # Cases,,,Alaska Department of Health,Alaska,influenza (seasonal),,Alaska,State/ADM 1; Other Substate Region,10/4/2021,ongoing,Weekly,Weekly,,,All,None,,,,,None found,,https://health.alaska.gov/en/resources/respiratory-virus-snapshot/,,No,us_state,0,,,,,,,
Alaska Flu # Cases by Flu Type,,,Alaska Department of Health,Alaska,influenza (seasonal),,Alaska,State/ADM 1,11/2/2024,ongoing,Weekly,Weekly,,,All,None,,,,,None found,,https://health.alaska.gov/en/resources/respiratory-virus-snapshot/,,No,us_state,0,,,,,,,
Alaska ILI % ED Visits,,,Alaska Department of Health,Alaska,influenza-like illness (ILI),,Alaska,State/ADM 1,9/24/2024,ongoing,Weekly,Weekly,,,Patients at EDs participating in syndromic surveillance program,None,,,,,None found,,https://health.alaska.gov/en/resources/respiratory-virus-snapshot/,,No,us_state,0,,,,,,,
Alaska RSV # Cases,,,Alaska Department of Health,Alaska,RSV,,Alaska,State/ADM 1; Other Substate Region,10/4/2021,ongoing,Weekly,Weekly,,,All,None,,,,,None found,,https://health.alaska.gov/en/resources/respiratory-virus-snapshot/,,No,us_state,0,,,,,,,
